CABra ID  	 511
ANA ID    	 65025000
Longitude 	 -49.513   	 dd
Latitude  	 -25.606   	 dd
Area      	 2302.42   	 km²
Elevation 	 924.00    	 m
 
p_ens, tmin_ens, tmax_ens, rh_ens, wnd_ens and srad_ens product are derived from the ENSEMBLE dataset
et_ens product is derived from the GLEAM dataset
pet_hg was estimated by Penman-Monteith method
pet_pm was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ens	   tmin_ens	   tmax_ens	     rh_ens	    wnd_ens	   srad_ens	   et_ens	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    0.028	     10.720	     24.071	     64.897	      2.095	     29.836	    4.534	    6.601	    7.971	    5.783
 1980	     1	     2	    0.711	     13.503	     23.527	     72.617	      1.656	     22.948	    3.489	    5.230	    6.386	    4.590
 1980	     1	     3	    0.114	     14.169	     26.081	     67.462	      1.144	     27.183	    4.621	    6.268	    7.654	    5.678
 1980	     1	     4	    0.239	     14.406	     26.415	     69.916	      1.394	     28.490	    4.924	    6.589	    8.031	    5.997
 1980	     1	     5	    0.025	     14.688	     24.231	     72.387	      2.482	     27.919	    4.612	    6.156	    7.764	    5.729
 1980	     1	     6	    1.213	     15.342	     27.122	     76.171	      1.959	     22.561	    4.294	    5.693	    6.549	    4.850
 1980	     1	     7	   12.725	     18.577	     25.479	     84.064	      1.294	     15.360	    3.539	    3.856	    4.682	    3.370
 1980	     1	     8	   10.973	     19.201	     27.305	     85.061	      1.118	     16.786	    3.333	    4.275	    5.138	    3.796
 1980	     1	     9	   22.079	     19.655	     25.877	     88.272	      0.977	     14.874	    3.259	    3.727	    4.589	    3.323
 1980	     1	    10	   10.155	     19.081	     28.355	     80.077	      1.950	     23.248	    4.805	    5.790	    6.961	    5.317
 1980	     1	    11	    6.739	     17.377	     26.789	     75.217	      0.982	     24.498	    4.696	    5.778	    7.152	    5.381
 1980	     1	    12	    1.238	     14.107	     24.723	     77.995	      1.616	     27.675	    4.860	    6.207	    7.692	    5.672
 1980	     1	    13	    1.467	     16.407	     24.409	     77.083	      2.566	     24.708	    4.150	    5.542	    7.036	    5.200
 1980	     1	    14	    3.449	     17.142	     24.628	     76.872	      2.962	     22.733	    3.843	    5.197	    6.564	    4.844
 1980	     1	    15	    3.932	     14.576	     21.738	     84.558	      2.846	     16.603	    2.315	    3.893	    4.754	    3.289
 1980	     1	    16	    5.822	     17.499	     24.363	     87.206	      2.132	     18.239	    4.089	    4.349	    5.379	    3.891
 1980	     1	    17	   12.262	     19.070	     25.347	     91.096	      1.543	     13.560	    3.305	    3.495	    4.203	    2.987
 1980	     1	    18	   14.721	     19.915	     27.899	     85.019	      0.732	     17.172	    4.417	    4.321	    5.280	    3.945
 1980	     1	    19	    8.754	     18.489	     28.696	     77.375	      2.324	     24.392	    5.159	    6.151	    7.262	    5.561
 1980	     1	    20	    7.084	     17.862	     27.220	     77.253	      2.239	     20.951	    4.287	    5.290	    6.225	    4.655
 1980	     1	    21	    1.855	     16.913	     28.109	     73.209	      1.167	     26.970	    4.915	    6.450	    7.860	    5.987
 1980	     1	    22	    2.201	     18.547	     28.203	     73.759	      1.575	     25.577	    4.768	    6.192	    7.568	    5.800
 1980	     1	    23	    3.414	     19.023	     27.686	     78.177	      2.414	     21.266	    4.384	    5.354	    6.376	    4.822
 1980	     1	    24	    8.648	     20.691	     26.281	     83.330	      2.060	     14.689	    4.069	    3.738	    4.570	    3.341
 1980	     1	    25	   26.208	     16.230	     21.354	     90.096	      2.240	      7.984	    1.278	    2.276	    2.611	    1.608
 1980	     1	    26	    4.864	     16.971	     22.653	     90.102	      1.383	      9.938	    1.752	    2.643	    3.144	    2.058
 1980	     1	    27	    1.935	     18.755	     26.481	     83.977	      0.959	     16.978	    2.992	    4.222	    5.147	    3.779
 1980	     1	    28	    5.560	     18.735	     26.418	     83.703	      1.369	     19.955	    4.691	    4.839	    5.954	    4.438
 1980	     1	    29	    5.056	     17.301	     23.639	     81.679	      1.864	     18.441	    3.716	    4.276	    5.391	    3.887
 1980	     1	    30	    0.403	     15.822	     26.501	     73.106	      1.525	     26.085	    4.678	    6.126	    7.467	    5.597
 1980	     1	    31	    1.392	     17.105	     26.307	     81.981	      1.178	     15.908	    3.768	    4.089	    4.799	    3.463
 1980	     2	     1	   10.035	     19.972	     25.643	     85.948	      1.271	     15.155	    3.167	    3.758	    4.660	    3.389
 1980	     2	     2	    2.880	     18.888	     25.286	     83.554	      2.606	     19.300	    3.713	    4.577	    5.738	    4.240
 1980	     2	     3	    2.378	     17.978	     25.385	     80.580	      2.033	     21.052	    3.660	    4.967	    6.175	    4.579
