Data,Rainfall (mm/day),PET_PTaylor (mm/day),Flow (mm/day)
01/01/1986,6,2.7970,0.3132
02/01/1986,0,2.8084,0.3324
03/01/1986,0,2.7822,0.3132
04/01/1986,2.9,3.8507,0.2939
05/01/1986,0,2.7529,0.3132
06/01/1986,0,2.7002,0.2654
07/01/1986,0,3.6401,0.3132
08/01/1986,0,6.3084,0.2516
09/01/1986,1.5,5.1156,0.2654
10/01/1986,0.6,5.4368,0.2801
11/01/1986,5.3,7.3031,0.3517
12/01/1986,6.2,4.8012,0.2939
13/01/1986,14,3.6740,0.5345
14/01/1986,0,3.1667,0.3903
15/01/1986,0,2.8189,0.2939
16/01/1986,0,3.7927,0.2654
17/01/1986,0,3.2725,0.2801
18/01/1986,1.3,3.6488,0.2654
19/01/1986,27.3,6.2454,0.2801
20/01/1986,17.5,2.9159,0.7503
21/01/1986,0.3,3.4115,0.7751
22/01/1986,11,2.7463,0.4482
23/01/1986,1.3,3.9366,0.4482
24/01/1986,0,6.7331,0.3517
25/01/1986,0,5.4379,0.3517
26/01/1986,0,4.0182,0.3132
27/01/1986,1.6,3.0105,0.2939
28/01/1986,3,3.6933,0.3517
29/01/1986,0,4.1460,0.3903
30/01/1986,29.6,6.4791,0.2801
31/01/1986,4.2,5.1564,0.4289
01/02/1986,10.7,5.8195,0.5584
02/02/1986,4.7,4.6233,0.4289
03/02/1986,0,5.7271,0.3903
04/02/1986,0,5.9430,0.4096
05/02/1986,0,4.6394,0.3324
06/02/1986,0,5.7127,0.3903
07/02/1986,1.1,5.0832,0.3324
08/02/1986,0,3.6284,0.2939
09/02/1986,7.8,3.5680,0.2939
10/02/1986,0,3.9932,0.7503
11/02/1986,0,3.7078,0.4674
12/02/1986,1.2,6.7247,0.3710
13/02/1986,0,6.3760,0.3710
14/02/1986,0.7,6.3102,0.3710
15/02/1986,0,6.2789,0.3324
16/02/1986,13.6,6.8511,0.3324
17/02/1986,0,6.7052,0.7751
18/02/1986,15.6,5.5887,0.4674
19/02/1986,0,3.8584,1.7173
20/02/1986,8.8,4.3696,0.4674
21/02/1986,0,5.5738,0.4289
22/02/1986,2.4,6.5277,0.4674
23/02/1986,3.5,7.1883,0.4289
24/02/1986,4.2,7.0159,0.4867
25/02/1986,3.4,4.8894,0.4096
26/02/1986,5.4,4.0724,0.4096
27/02/1986,2.5,3.4714,0.4096
